Timestamp,AP Name,Status,Total user,Availability,Bandwidth Utilization,Signal Strength (RSSI),Packet Loss & Latency,Interference Level,Device Count,Session Duration,Installation Cost,Maintenance Cost
3/1/2025 0:00,AP7426.ac5b.af38,"ma 662d,10h,48m",7,96.51%,37.454011884736246,-52,,Moderate,17,27.890108842725997,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0182,"up 14d,19h,24m",6,98.21%,95.07143064099162,-77,,Mild,15,30.69718840118912,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0183,"up 70d,13h,4m",3,98.85%,73.19939418,-71,High,Severe,7,33.415106752369326,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0184,"up 4d,8h,9m",8,98.84%,59.86584841970366,-56,,Moderate,20,78.56212768939471,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0185,"up 48d,7h,59m",2,96.78%,15.601864044243651,-50,,Mild,5,13.745677572025697,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0186,"up 33d,9h,54m",4,97.75%,15.599452033620263,-78,,None,10,70.84093546673516,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0187,"up 33d,9h,54m",7,97.44%,5.8083612168199465,-34,,None,17,99.21791717267186,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0188,"up 33d,9h,54m",4,98.22%,86.61761457749351,-79,Medium,Mild,10,93.15023430950954,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0189,"up 18d,15h,4m",5,98.19%,60.11150117432088,-56,,Severe,12,22.38474530246743,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0190,"up 18d,15h,4m",2,98.36%,70.80725777960456,-32,High,Severe,5,110.1941494995626,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0191,"up 6d,19h,24m",2,98.37%,2.0584494295802447,-75,High,None,5,93.56039386154902,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0192,"up 6d,19h,24m",5,96.81%,96.99098521619943,-55,High,None,12,5.609788757277297,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP0193,"up 70d,13h,4m",7,97.51%,83.24426408004217,-73,High,Severe,17,89.79796786,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1059,"up 70d,12h,44m",8,97.45%,21.233911067827616,-46,,Mild,20,89.80349304152983,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1060,"up 70d,12h,44m",5,97.30%,18.182496720710063,-54,Medium,None,12,62.133849262098245,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1061,"up 18d,15h,4m",1,96.27%,18.34045098534338,-56,Low,Severe,2,10.287977840732804,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1062,"up 2d,19h,24m",4,96.85%,30.42422429595377,-63,Low,Mild,10,71.6891829,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1063,"up 7d,9h,49m",1,97.26%,52.475643163223786,-80,Low,Moderate,2,93.06087740394555,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1064,"up 8d,3h,14m",5,97.27%,43.19450186421157,-33,Low,Mild,12,36.15051636191507,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1065,"up 33d,9h,54m",8,97.80%,29.122914019804192,-42,High,Severe,20,81.71284509895555,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1066,"up 0d,6h,59m",6,97.10%,61.18528947223795,-78,,Mild,15,45.701512430103925,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1067,"up 33d,9h,54m",7,96.70%,13.949386065204184,-77,,Severe,17,70.99330578375658,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1068,"up 70d,13h,4m",1,97.58%,29.21446485352181,-40,Low,None,2,49.22506118463684,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1069,"up 33d,9h,54m",4,96.90%,36.63618432936917,-44,Low,Moderate,10,39.93256859,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1070,"up 4d,19h,24m",6,97.33%,45.60699842,-66,Medium,None,15,103.4301646746851,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1071,"up 2d,9h,14m",2,98.39%,78.51759613930136,-73,Medium,None,5,91.69139980631832,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1072,"up 33d,9h,54m",4,96.67%,19.96737821583597,-43,Medium,Severe,10,44.726650406912135,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1073,"up 33d,9h,54m",8,96.48%,51.42344384136116,-31,High,Severe,20,54.98263878574903,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1074,"up 33d,9h,54m",5,96.70%,59.24145688620425,-62,,Severe,12,84.54589305566478,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1075,"up 70d,13h,4m",5,97.41%,4.645041271999773,-34,High,Severe,12,98.27405976790855,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1076,"up 70d,13h,4m",8,98.66%,60.75448519014384,-55,High,None,20,83.69924522484193,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1077,"up 6d,19h,24m",5,98.15%,17.052412368729154,-42,,Severe,12,67.20713177850341,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1078,"up 6d,19h,24m",3,96.23%,6.505159298527952,-71,Medium,Severe,7,114.75437067209624,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1079,"up 70d,13h,4m",3,98.18%,94.88855372533332,-43,,None,7,94.02651627,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1080,"up 6d,19h,24m",8,98.07%,96.56320330745594,-67,Low,Moderate,20,18.293063944998195,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1081,"up 70d,12h,44m",1,97.48%,80.83973481164611,-32,Medium,Moderate,2,69.18599636,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1082,"up 34d,8h,4m",7,98.44%,30.46137691733707,-40,,Mild,17,52.09901376049992,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1083,"up 6d,19h,24m",2,97.91%,9.767211400638388,-62,High,None,5,96.41759823094128,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1084,"up 70d,12h,44m",4,98.42%,68.42330265121569,-51,,Severe,10,10.136248893604677,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1085,"up 70d,12h,44m",2,97.47%,44.01524937396013,-76,Medium,Mild,5,52.23321054567923,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1086,"up 70d,12h,44m",7,96.97%,12.203823484477883,-50,Low,Moderate,17,41.60177626450088,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1087,"up 70d,12h,44m",4,97.46%,49.51769101112702,-74,High,Moderate,10,21.236388226667607,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1088,"up 70d,12h,44m",1,97.44%,3.438852112,-62,Low,None,2,48.56247326175078,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1089,"up 70d,12h,44m",5,96.98%,90.93204021,-50,Low,Severe,12,82.37203199,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1090,"up 70d,12h,44m",3,98.30%,25.87799816000169,-42,High,Severe,7,46.59295677874052,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1091,"up 70d,12h,44m",2,98.43%,66.25222844,-57,,Mild,5,71.70075617,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1092,"up 33d,9h,54m",5,97.44%,31.171107608941096,-47,,Moderate,12,73.17335653302055,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1093,"up 33d,9h,54m",1,96.60%,52.00680211778108,-58,Low,Mild,2,72.51777961167383,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1094,"up 33d,9h,54m",4,97.79%,54.67102793432797,-33,,Mild,10,65.89616665358363,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1095,"up 33d,9h,54m",5,97.72%,18.485445552552704,-36,Medium,Mild,12,18.45364710347461,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1096,"up 70d,13h,4m",2,98.33%,96.95846277645586,-41,Low,Severe,5,30.12243165506248,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1097,"up 70d,13h,4m",8,98.61%,77.51328233611146,-75,Low,Moderate,20,97.00771376886377,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1098,"up 57d,9h,49m",2,98.11%,93.94989416,-43,Low,Mild,5,62.77203122611167,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1099,"up 6d,19h,24m",7,98.20%,89.48273504276489,-40,Medium,Moderate,17,86.19877632117623,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1100,"ma 36d,12h,1m",3,98.72%,59.78999788110851,-45,Low,Moderate,7,70.53954422446759,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1101,"up 33d,9h,54m",64,97.86%,92.18742350231167,-54,,Mild,160,9.449379267527409,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1102,"up 33d,9h,54m",3,97.97%,8.849250205,-70,,Mild,7,96.56458343705856,4000,1000
3/1/2025 0:00,CMU_AGR_AGRI_AP1103,"up 70d,13h,4m",7,98.61%,19.59828624191452,-76,,None,17,12.397282370840689,4000,1000
